client_code,Карта для путешествий__gain,Карта для путешествий__fit,Карта для путешествий__score,Премиальная карта__gain,Премиальная карта__fit,Премиальная карта__score,Кредитная карта__gain,Кредитная карта__fit,Кредитная карта__score,Обмен валют__gain,Обмен валют__fit,Обмен валют__score,Депозит Сберегательный__gain,Депозит Сберегательный__fit,Депозит Сберегательный__score,Депозит Накопительный__gain,Депозит Накопительный__fit,Депозит Накопительный__score,Депозит Мультивалютный__gain,Депозит Мультивалютный__fit,Депозит Мультивалютный__score,Инвестиции__gain,Инвестиции__fit,Инвестиции__score,chosen,score_chosen
1,8560.545333333332,1.0,9844.62713333333,25459.440850000006,0.3551026933333334,4520.358008297846,38456.6848,0.7287792951080965,7006.608910184563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Карта для путешествий,9844.62713333333
2,5838.586933333334,1.0,6714.374973333333,34383.972816666675,0.50062068,8606.663926290594,41236.5694,0.7634200585015893,7870.206055938213,0.0,0.0,0.0,4354.053593999999,0.2404741571016157,1047.0373679924103,6816.952596666666,0.9017780891310588,6454.74741063503,6377.1492033333325,0.3,2104.4592371,0.0,0.0,0.0,Премиальная карта,8606.663926290594
3,9714.399866666668,1.0,11171.559846666667,21655.31191666667,0.26810858,2902.9874637172893,34377.3592,0.7345817632183249,6313.245283981426,636.9138,0.707682,473.2690534021801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Карта для путешествий,11171.559846666667
4,8188.339866666666,1.0,9416.590846666666,24969.820416666666,0.3569319933333333,4456.263887248098,37360.462999999996,0.7344389793815365,6859.745078735413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Карта для путешествий,9416.590846666666
5,8546.0024,1.0,9827.902759999999,33673.67838333333,0.41629426,7009.0795120338735,39176.991799999996,0.7148846068918888,7001.757095537438,0.0,0.0,0.0,2104.3077000000008,0.19773648494953716,416.0984078502453,3294.6231666666677,0.7415118185607643,2565.152116576796,3082.066833333334,0.3,1017.0820550000003,0.0,0.0,0.0,Карта для путешествий,9827.902759999999
6,7833.534266666667,1.0,9008.564406666666,26350.169383333334,0.3881269533333333,5113.605481285223,41603.6344,0.771809499361011,8027.5200594656335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Карта для путешествий,9008.564406666666
7,3134.7227999999996,0.9,3244.438097999999,40639.39958333333,0.9856813866666667,20028.74986730038,42417.718,0.7640807499712721,8102.640445377482,0.0,0.0,0.0,24422.213012999997,0.4,9768.885205199998,38236.79815166666,1.0,40148.63805925,35769.90794833333,0.3,11804.069622949999,0.0,0.0,0.0,Депозит Накопительный,40148.63805925
8,3140.3913333333335,0.7850978333333334,2835.3415963615944,51060.96336666666,0.9544186066666667,24366.766755735855,52916.9742,0.7969694641874422,10543.303143648674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Премиальная карта,24366.766755735855
9,2977.064533333333,0.8,2738.8993706666665,42889.06375,0.9479547266666666,20328.445352060244,46143.388199999994,0.7920609610385168,9137.094100816337,0.0,0.0,0.0,16125.65163,0.4,6450.260652000001,25247.232350000002,1.0,26509.593967500005,23618.378650000002,0.3,7794.064954500001,0.0,0.0,0.0,Депозит Накопительный,26509.593967500005
10,2652.4806666666664,0.75,2287.7645749999997,44826.63148333333,0.8049874333333333,18042.437511373846,47253.799,0.8005572867408319,9457.343278909158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.75555200000002,0.5475555200000003,29.98170474824707,Премиальная карта,18042.437511373846
11,3059.3112,0.7648278,2690.823192803064,45672.61625,1.0,22836.308125,48611.2696,0.7974322482806098,9691.048502225714,0.0,0.0,0.0,16817.797623000002,0.4,6727.119049200001,26330.895268333334,1.0,27647.44003175,24632.12783166667,0.3,8128.602184450001,0.0,0.0,0.0,Депозит Накопительный,27647.44003175
12,3573.0026666666668,0.8932506666666666,3670.3250661020443,31350.091233333336,0.6605709866666667,10354.48034904651,39345.8436,0.7477188676922835,7354.907406247419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Премиальная карта,10354.48034904651
13,3231.4325333333336,0.8078581333333333,3002.119912526962,16863.03825,0.20168881333333336,1700.5430869185552,15574.606,0.7359275267261178,2865.4453183284386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Карта для путешествий,3002.119912526962
